brand,model,years,curb_weight_kg,notes
"Tata","Tigor EV","2021–наст.","1235","Электрический седан, батарея 26 кВт·ч, запас хода 315 км"
"Tata","Altroz (1.2, базовая)","2020–наст.","1036","Премиальный хэтчбек B-класса, 1.2 л (88 л.с.). Дизельная версия (1.5 л) весит 1150 кг"
"Tata","Punch (1.2, базовая)","2021–наст.","1000","Субкомпактный кроссовер, 1.2 л (86 л.с.). Масса: 1000–1070 кг"
"Tata","Punch EV","2023–наст.","1240","Электрический кроссовер, батарея 25–35 кВт·ч, запас хода до 421 км. Масса: 1240–1354 кг"
"Tata","Nexon (1.2 Turbo)","2017–наст.","1188","Субкомпактный кроссовер, 1.2 л турбо (120 л.с.). Масса: 1188–1280 кг"
"Tata","Nexon EV","2020–наст.","1400","Электрический кроссовер, батарея 30–45 кВт·ч, запас хода до 489 км. Масса: 1400–1450 кг"
"Tata","Curvv (1.2 Turbo / 1.5 Diesel)","2024–наст.","1225","Купеобразный кроссовер, 1.2 л турбо (120 л.с.) или 1.5 л дизель (115 л.с.). Масса: 1225–1346 кг"
"Tata","Curvv EV","2024–наст.","1437","Электрический купе-кроссовер, батарея 45–55 кВт·ч, запас хода до 585 км. Масса: 1437–1531 кг"
"Tata","Harrier (2.0 Diesel)","2019–наст.","2000","Среднеразмерный кроссовер, 2.0 л турбодизель (170 л.с.), передний привод. Масса: 1600–2000 кг (по разным источникам)"
"Tata","Harrier EV (RWD, 65–75 кВт·ч)","2025–наст.","2235","Электрический кроссовер, задний привод, запас хода до 500 км. AWD версия весит 2336 кг"
"Tata","Safari (2.0 Diesel)","2021–наст.","1825","Флагманский трёхрядный внедорожник, 2.0 л турбодизель (170 л.с.). Масса: 1825–2040 кг"
"Tata","Sierra (II поколение)","2025–наст.","1400","Возвращённый кроссовер, 1.5 л турбо (118 л.с.). Масса ориентировочная"
"Tata","Ace (Petrol/Diesel/CNG/EV)","2005–наст.","710","Популярный микро-грузовик. Масса варьируется от 710 кг (Ace Pro Petrol) до 1610 кг (Ace Pro Bi-Fuel)"
"Tata","Intra V10","2020–наст.","1075","Компактный пикап, грузоподъёмность до 1200 кг"
"Tata","Intra V50 Gold","2020–наст.","1455","Среднетоннажный пикап, грузоподъёмность до 1700 кг. Масса: 1455–1510 кг"
"Tata","Yodha 2.0 (4x4)","2018–наст.","1850","Полноразмерный пикап, 2.2 л турбодизель (100 л.с.), грузоподъёмность до 2000 кг. Масса: 1750–1850 кг"
"Tatra","613","1974–1996","1670","Заднемоторный представительский седан, 3.5 л V8 (168 л.с.), дизайн Vignale"
"Tatra","700","1996–1999","1840","Последний легковой автомобиль Tatra, модернизированная Tatra 613 с 4.3 л V8 (234 л.с.)"
"Tatra","815","1983–2025","15000","Основной тяжелый грузовик, выпущено более 158 000 единиц"
"Tatra","815-7 (Force)","2007–наст.","13300","Тяжелый армейский вездеход (также известен как Tatra 817)"
"Tatra","158 Phoenix","2011–наст.","8700","Современное коммерческое шасси с кабиной DAF CF и двигателями Paccar"
"Tatra","813","1967–1982","14000","Тяжелый тягач-вездеход «Колосс», способный буксировать прицепы до 100 тонн"
"Tatra","148","1972–1982","10800","Среднетоннажный грузовик, преемник Tatra 138"
"Tatra","138","1959–1971","9400","Грузовик, пришедший на смену Tatra 111"
"Tatra","111","1942–1962","8500","Легендарный грузовик Второй мировой войны"
"TechArt","GTstreet R (Turbo S, 992)","2021–наст.","1590","Флагман на базе 911 Turbo S, 3.8 л твин-турбо (800 л.с.), карбоновый обвес, разгон 0-100 км/ч за 2.5 с, сухая масса"
"TechArt","GTstreet R Touring (992)","2022–наст.","1640","Версия без массивного антикрыла, 800 л.с., масса оценочная"
"TechArt","GTstreet R Cabriolet (992)","2023–наст.","1700","Кабриолет на базе 911 Turbo S, 800 л.с., масса оценочная"
"TechArt","GTstreet R (Taycan Turbo S)","2024–наст.","2300","Электрический суперседан, 830 л.с., карбоновый обвес, 22-дюймовые диски, разгон 0-100 км/ч за 2.4 с, масса оценочная"
"TechArt","GrandGT (Panamera Turbo S)","2021–наст.","2150","Доработанный Panamera Turbo S, 700 л.с., карбоновый обвес, масса оценочная"
"TechArt","Magnum (Cayenne Turbo GT)","2022–наст.","2300","Доработанный Cayenne Turbo GT, 740 л.с., 950 Н·м, разгон 0-100 км/ч за 3.3 с, масса оценочная"
"TechArt","Macan III (GTS/Turbo)","2022–наст.","2000","Программа доработки Macan, 570 л.с., карбоновый обвес, масса оценочная"
"TechArt","GTstreet RS (718 Cayman GT4 RS)","2023–наст.","1450","Доработанный 718 Cayman GT4 RS, 4.0 л атм. (500 л.с.), карбоновый обвес, масса оценочная"
"TechArt","GTstreet S (997)","2008","1610","Экстремальная программа на базе 911 (997) Turbo, 3.6 л твин-турбо (660 л.с.)"
"TechArt","Aerokit I (996)","2000","1440","Ранний аэродинамический пакет для Porsche 911 (996), масса оценочная"
"TechArt","Cabriolet (996)","2000","1500","Программа доработки Porsche 911 (996) Cabriolet, масса оценочная"
"Tesla","Model S (60, RWD)","2012–2016","1961","Электрический седан, задний привод, батарея 60 кВт·ч, запас хода 335 км"
"Tesla","Model S (85, RWD)","2012–2016","2108","Электрический седан, задний привод, батарея 85 кВт·ч, запас хода 426 км"
"Tesla","Model S (P100D, AWD)","2016–2020","2265","Электрический седан, полный привод, батарея 100 кВт·ч, разгон 0-100 км/ч за 2.5 с"
"Tesla","Model S (Long Range, 2021+)","2021–наст.","2069","Обновлённый седан, задний привод, батарея 100 кВт·ч, запас хода 652 км"
"Tesla","Model S Plaid (AWD)","2021–наст.","2162","Трёхмоторный седан, 1020 л.с., разгон 0-100 км/ч за 1.99 с"
"Tesla","Model 3 (Standard Range Plus, RWD)","2017–наст.","1760","Электрический седан, задний привод, батарея 54-60 кВт·ч. Масса: 1625-1760 кг"
"Tesla","Model 3 (Long Range, AWD)","2017–наст.","1824","Электрический седан, полный привод, батарея 75-82 кВт·ч. Масса: 1824-1851 кг"
"Tesla","Model 3 (Performance, AWD)","2017–наст.","1854","Электрический седан, полный привод, 490 л.с., разгон 0-100 км/ч за 3.1 с"
"Tesla","Model X (60D, AWD)","2015–2016","2300","Электрический кроссовер, полный привод, батарея 60 кВт·ч, двери 'крыло сокола'"
"Tesla","Model X (P100D, AWD)","2016–2020","2494","Электрический кроссовер, полный привод, батарея 100 кВт·ч, разгон 0-100 км/ч за 2.9 с. Масса: 2494-2509 кг"
"Tesla","Model X (Long Range, AWD, 2021+)","2021–наст.","2335","Обновлённый кроссовер, полный привод, батарея 100 кВт·ч, запас хода 560 км. Масса: 2335-2441 кг"
"Tesla","Model X Plaid (AWD)","2021–наст.","2468","Трёхмоторный кроссовер, 1020 л.с. Масса: 2468-2509 кг"
"Tesla","Model Y (RWD, Standard Range)","2020–наст.","1909","Электрический кроссовер, задний привод, батарея 60 кВт·ч. Масса: 1909-1921 кг"
"Tesla","Model Y (Long Range, AWD)","2020–наст.","1992","Электрический кроссовер, полный привод, батарея 75-82 кВт·ч. Масса: 1992-2003 кг"
"Tesla","Model Y (Performance, AWD)","2020–наст.","1997","Электрический кроссовер, полный привод, 527 л.с., разгон 0-100 км/ч за 3.5 с"
"Tesla","Cybertruck (AWD)","2023–наст.","3010","Электрический пикап, два мотора, батарея 123 кВт·ч, запас хода 547 км. Масса: 3010-3025 кг"
"Tesla","Cybertruck (Cyberbeast, Tri-Motor)","2023–наст.","3125","Электрический пикап, три мотора, 845 л.с., разгон 0-100 км/ч за 2.7 с. Масса: 3125-3130 кг"
"Tesla","Roadster (I поколение, 1.5)","2008–2012","1220","Электрический родстер на базе Lotus Elise, задний привод, батарея 53 кВт·ч, запас хода 393 км. Масса: 1220-1305 кг"
"Toyota","GR Yaris (1.6T, MT, 272 л.с.)","2020–наст.","1280","Полноприводный хэтчбек, 1.6 л турбо, 6-ст. МКПП. Масса: 1,280–1,300 кг"
"Toyota","GR Yaris (1.6T, AT, 304 л.с.)","2022–наст.","1325","Полноприводный хэтчбек, 1.6 л турбо, 8-ст. АКПП, на 20 кг тяжелее МКПП"
"Toyota","Yaris Cross (Hybrid, AWD)","2020–наст.","1265","Субкомпактный кроссовер, 1.5 л гибрид, полный привод"
"Toyota","GR Corolla (Core, MT, 300 л.с.)","2022–наст.","1490","Полноприводный хэтчбек, 1.6 л турбо, 6-ст. МКПП"
"Toyota","GR Corolla (Premium, AT, 300 л.с.)","2025–наст.","1510","Полноприводный хэтчбек, 1.6 л турбо, 8-ст. АКПП"
"Toyota","Corolla (XSE, 2.0, FWD)","2018–наст.","1385","Седан, 2.0 л (169 л.с.), вариатор, передний привод"
"Toyota","Corolla Hybrid (LE, 1.8, FWD)","2018–наст.","1293","Гибридный седан, 1.8 л + э/м (138 л.с.), передний привод"
"Toyota","Corolla Cross Hybrid (AWD)","2021–наст.","1510","Кроссовер, 2.0 л гибрид, полный привод"
"Toyota","Camry (XV80, 2.5 Hybrid, FWD)","2024–наст.","1550","Бизнес-седан, 2.5 л гибрид (225 л.с.), вариатор. Масса: 1,550–1,630 кг"
"Toyota","Camry (XV70, 2.5, AWD)","2017–2023","1645","Предыдущее поколение бизнес-седана, 2.5 л (205 л.с.), полный привод"
"Toyota","Crown (гибрид, 2.5 л)","2022–наст.","1750","Представительский седан/кросс-седан, 2.5 л гибрид (239 л.с.)"
"Toyota","Crown Signia","2023–наст.","1910","Кросс-универсал, 2.5 л гибрид, полный привод"
"Toyota","Mirai (FCEV, водород)","2020–наст.","1920","Водородный седан, запас хода 650 км"
"Toyota","RAV4 (2.5, FWD)","2018–наст.","1530","Компактный кроссовер, 2.5 л (203 л.с.), передний привод. Масса: 1,530–1,700 кг"
"Toyota","RAV4 Prime (PHEV, AWD)","2020–наст.","1930","Подзаряжаемый гибрид, 2.5 л + э/м (306 л.с.), запас хода на электротяге 68 км"
"Toyota","bZ4X (FWD, 71.4 кВт·ч)","2022–наст.","1910","Электрический кроссовер, передний привод, запас хода 436 км"
"Toyota","bZ4X (AWD, 72.8 кВт·ч)","2022–наст.","2030","Электрический кроссовер, полный привод, запас хода 415 км"
"Toyota","Highlander (3.5 V6, AWD)","2019–наст.","1885","Трёхрядный кроссовер, 3.5 V6 (295 л.с.), полный привод"
"Toyota","Grand Highlander (Hybrid Max, AWD)","2023–наст.","2096","Удлинённый трёхрядный кроссовер, 2.4T гибрид (362 л.с.), полный привод"
"Toyota","4Runner (TRD Off-Road, 4WD)","2024–наст.","2200","Рамный внедорожник, 2.4T (278 л.с.), полный привод"
"Toyota","Land Cruiser Prado (250-я серия, 2.8D)","2023–наст.","2380","Рамный внедорожник, 2.8 л турбодизель (204 л.с.), полный привод"
"Toyota","Land Cruiser 300 (3.5T V6, AWD)","2021–наст.","2575","Флагманский рамный внедорожник, 3.5T V6 (415 л.с.), полный привод"
"Toyota","Sequoia (Capstone, AWD)","2022–наст.","2805","Полноразмерный рамный внедорожник, 3.5T V6 гибрид (437 л.с.), полный привод"
"Toyota","Hilux (2.8D, Double Cab, 4x4)","2015–наст.","2100","Среднеразмерный пикап, 2.8 л турбодизель (204 л.с.), полный привод"
"Toyota","Tacoma (TRD Off-Road, 4x4)","2023–наст.","2075","Среднеразмерный пикап, 2.4T (278 л.с.), полный привод"
"Toyota","Tundra (Capstone, AWD)","2022–наст.","2810","Полноразмерный пикап, 3.5T V6 гибрид (437 л.с.), полный привод"
"Toyota","Sienna (Hybrid, AWD)","2020–наст.","2185","Семиместный минивэн, 2.5 л гибрид (245 л.с.), вариатор, полный привод"
"Toyota","Alphard (2.5 Hybrid, AWD)","2023–наст.","2170","Представительский минивэн, 2.5 л гибрид (250 л.с.), полный привод"
"Toyota","GR86 (2.4, MT)","2021–наст.","1278","Заднеприводное купе, 2.4 л оппозит (228 л.с.), 6-ст. МКПП"
"Toyota","GR Supra (3.0T, AT)","2019–наст.","1541","Заднеприводное купе, 3.0 л рядный 6-цил. турбо BMW (382 л.с.), 8-ст. АКПП. Масса: 1,528–1,541 кг"
"Toyota","Century (седан, 5.0 V8 Hybrid)","2018–наст.","2040","Представительский седан, 5.0 V8 гибрид (431 л.с.)"
"Toyota","Century (SUV, 3.5 V6 PHEV)","2023–наст.","2600","Представительский кроссовер, 3.5 V6 PHEV (412 л.с.)"
"TVR","Griffith (2018)","2018–наст.","1250","Современное купе, 5.0 л V8 Ford Coyote (500 л.с.), 6-ст. МКПП, задний привод. Дизайн Гордона Мюррея"
"TVR","Chimaera","1993–2003","1060","Родстер, Rover V8 4.0-5.0 л (240-340 л.с.), 5-ст. МКПП, задний привод"
"TVR","Cerbera","1996–2003","1130","Купе 2+2, TVR Speed Eight V8 4.2-4.5 л (360-420 л.с.), 5-ст. МКПП, задний привод. Масса: 1060-1130 кг"
"TVR","Tuscan","1999–2006","1100","Родстер и купе, TVR Speed Six I6 3.6-4.0 л (350-440 л.с.), 5-ст. МКПП, задний привод"
"TVR","Tamora","2002–2006","1060","Родстер, TVR Speed Six I6 3.6 л (350 л.с.), 5-ст. МКПП, задний привод"
"TVR","T350","2002–2006","1187","Купе, TVR Speed Six I6 3.6 л (350 л.с.), 5-ст. МКПП, задний привод"
"TVR","Sagaris","2005–2006","1078","Экстремальное купе, TVR Speed Six I6 4.0 л (400 л.с.), 5-ст. МКПП, задний привод. Последняя серийная модель"
"TVR","Typhon","2005–2006","1100","Лимитированная версия Sagaris, TVR Speed Six I6 4.0 л наддув (585 л.с.)"
"TVR","Grantura","1958–1967","635","Первая модель TVR, стеклопластиковый кузов, трубчатая рама. Двигатели Coventry Climax и Ford"
"TVR","Vixen","1967–1972","737","Преемник Grantura, Ford Kent 1.6 л"
"TVR","M Series","1972–1979","1005","Купе и родстер, Ford Essex V6 3.0 л"
"TVR","Tasmin / 280i","1980–1988","1094","Купе с клиновидным дизайном, Ford Cologne V6 2.8 л (160 л.с.)"
"TVR","S Series","1986–1994","980","Упрощённая версия Tasmin, Ford Cologne V6 2.9 л"
"УАЗ","Патриот (ЗМЗ-409051, 150 л.с.)","2005–наст.","2125","Флагманский рамный внедорожник. Масса варьируется от 2000 до 2125 кг в зависимости от комплектации"
"УАЗ","Патриот (дизель, 2.0 л, 136 л.с.)","2025–наст.","2100","Дизельная версия Патриота. Точная снаряжённая масса не раскрыта, оценка: ~2100 кг"
"УАЗ","Хантер (ЗМЗ-40906, 135 л.с.)","2003–наст.","1845","Классический рамный внедорожник, преемник УАЗ-469. Масса варьируется от 1760 до 1845 кг"
"УАЗ","Хантер (Экспедиционный, ЗМЗ-40906)","2003–наст.","1840","Хантер в комплектации Экспедиционный. Масса: 1840 кг"
"УАЗ","Хантер (базовая версия, ЗМЗ-40906)","2003–наст.","1760","Хантер в базовой комплектации. Масса: 1760 кг"
"УАЗ","СГР «Буханка» (ЗМЗ-40911, 112 л.с.)","1965–наст.","1905","Цельнометаллический фургон/микроавтобус. Масса варьируется от 1820 до 1905 кг"
"УАЗ","СГР «Буханка» (УАЗ-3909, базовая)","1965–наст.","1820","Базовая версия Буханки. Масса: 1820 кг"
"УАЗ","СГР «Буханка» (УАЗ-33094 «Фермер»)","1965–наст.","1995","Грузопассажирская версия Буханки. Масса: 1995 кг"
"УАЗ","Профи (бортовой, однорядная кабина)","2018–наст.","1840","Лёгкий коммерческий грузовик. Масса варьируется от 1840 до 1990 кг"
"УАЗ","Профи (бортовой, двухрядная кабина)","2018–наст.","2225","Версия с двухрядной кабиной на 5 мест. Масса: 2225 кг"
"УАЗ","Профи (фургон, однорядная кабина)","2018–наст.","1990","Фургон на базе Профи. Масса: 1990 кг"
"УАЗ","Профи (фургон, двухрядная кабина)","2018–наст.","2225","Фургон с двухрядной кабиной. Масса: 2225 кг"
"УАЗ","Пикап (ЗМЗ-409051, 150 л.с.)","2008–наст.","2135","Пикап на удлинённой платформе Патриота. Масса варьируется от 2070 до 2135 кг"
"УАЗ","УАЗ-469 (2.4 л, 72 л.с.)","1972–1985","1650","Легендарный советский внедорожник. Масса: 1540 кг (469Б) или 1650 кг (469)"
"УАЗ","УАЗ-3151 (2.9 л, 84 л.с.)","1985–2003","1750","Модернизированная версия УАЗ-469. Масса варьируется от 1650 до 1750 кг"
"УАЗ","УАЗ-3160 (2.4 л, 76 л.с.)","1997–2005","1680","Предшественник Патриота. Масса: 1680 кг"
"УАЗ","УАЗ-3162 (2.7 л, 128 л.с.)","2000–2005","1770","Модернизированная версия УАЗ-3160. Масса: 1770 кг"
"Vauxhall","Corsa F (1.2 Turbo 136 GS 5dr)","2019–наст.","1219","Хэтчбек B-сегмента. Масса варьируется от 1170 до 1290 кг"
"Vauxhall","Corsa-e (электрический)","2020–наст.","1598","Электрический хэтчбек. Масса варьируется от 1544 до 1598 кг"
"Vauxhall","Corsa C (1.4 MT, 2003-2006)","2000–2006","960","Хэтчбек третьего поколения. Масса варьируется от 944 до 965 кг"
"Vauxhall","Astra L (1.4 MT, 2009-2015)","2009–2015","1373","Хэтчбек и универсал C-сегмента. Масса варьируется от 1373 до 1350 кг (кабриолет)"
"Vauxhall","Astra F (1.2 MT, 1998-2005)","1991–2002","990","Хэтчбек первого поколения. Масса варьируется от 830 до 1140 кг"
"Vauxhall","Insignia B (1.6L ECOTEC 6MT, 115 HP)","2017–2022","1510","Семейный автомобиль D-сегмента. Масса варьируется от 1440 до 1878 кг"
"Vauxhall","Insignia A (2.8 MT 4WD)","2008–2017","1710","Первое поколение. Масса варьируется от 1428 до 1743 кг"
"Vauxhall","Mokka II (2024, Facelift)","2024–наст.","1690","Компактный кроссовер второго поколения. Масса варьируется от 1294 до 1750 кг"
"Vauxhall","Mokka-e (электрический)","2020–наст.","1598","Электрическая версия кроссовера"
"Vauxhall","Mokka I (1.4 MT 4WD, 2016-2019)","2016–2019","1445","Первое поколение. Масса варьируется от 1324 до 1504 кг"
"Vauxhall","Crossland X (1.2 Turbo SE 5dr)","2017–2024","1170","Субкомпактный кроссовер. Масса варьируется от 1163 до 1319 кг"
"Vauxhall","Grandland II (2025)","2024–наст.","1600","Компактный кроссовер второго поколения. Масса варьируется от 1600 до 2132 кг"
"Vauxhall","Grandland X (1.6 Diesel Auto, 2017)","2017–2021","1430","Первое поколение. Масса варьируется от 1350 до 1433 кг"
"Vauxhall","Vivaro (L1H1, 2.0 CDTI)","2019–наст.","1660","Коммерческий фургон. Масса варьируется от 1660 до 1770 кг"
"Vauxhall","Vivaro (более ранняя версия)","2001–2014","2965","Микроавтобус, снаряжённая масса 2965 кг"
"Vauxhall","Combo Cargo (2018)","2018–наст.","1355","Лёгкий коммерческий фургон. Масса варьируется от 1355 до 2030 кг"
"Vauxhall","Combo C (1.4i 16V, 90 Hp, 2004)","2001–2011","1235","Компактный фургон, снаряжённая масса 1235 кг"
"Vauxhall","Combo Life (1.5 Turbo D Edition 5dr)","2018–наст.","1405","Пассажирская версия Combo"
"Vauxhall","VXR8 (6.0L V8 6AT, 417 HP)","2007–2017","1850","Спортивный седан. Масса варьируется от 1831 до 1850 кг"
"Vauxhall","VXR8 Bathurst S","2009–2017","1830","Более мощная версия VXR8"
"VinFast","VF3","2024–наст.","857","Самый компактный электромобиль VinFast. 44 л.с., 2-дверный, 4-местный, батарея 18,64 кВт·ч."
"VinFast","VF e34","2021–наст.","1490","Первый электромобиль VinFast. 150 л.с., батарея 44,5 кВт·ч. Масса: 1,490–1,554 кг."
"VinFast","VF5","2023–наст.","1340","Компактный электрический хэтчбек. 136 л.с., батарея 29,6–37,23 кВт·ч. Масса: 1,285–1,360 кг."
"VinFast","VF6 (Plus)","2023–наст.","1962","Субкомпактный электрический кроссовер. 136 л.с., батарея 59,6 кВт·ч. Масса: 1,550–2,028 кг."
"VinFast","VF6 (Plus, 201 л.с.)","2023–наст.","2028","Субкомпактный электрический кроссовер. 201 л.с., батарея 59,6 кВт·ч."
"VinFast","VF7 (Eco, 201 л.с.)","2023–наст.","2085","Компактный электрический кроссовер. 201 л.с., батарея 59,6 кВт·ч."
"VinFast","VF7 (Plus, 243 л.с.)","2023–наст.","2127","Компактный электрический кроссовер. 243 л.с., батарея 70,8 кВт·ч."
"VinFast","VF7 (AWD, 355 л.с.)","2023–наст.","2218","Компактный электрический кроссовер. 355 л.с., полный привод, батарея 70,8 кВт·ч."
"VinFast","VF8 (Eco, 349 л.с.)","2021–наст.","2618","Среднеразмерный электрический кроссовер. 349 л.с., батарея 82–87,7 кВт·ч. Масса: 2,418–2,618 кг."
"VinFast","VF9 (Eco, 408 л.с.)","2023–наст.","2911","Полноразмерный электрический кроссовер. 408 л.с., трёхрядный салон, батарея 92–123 кВт·ч. Масса: 2,735–2,911 кг."
"VinFast","Fadil (1.4, 98 л.с.)","2019–2022","992","Ребеджинг Chevrolet Spark. Самый лёгкий автомобиль VinFast. Масса: 992–1,005 кг."
"VinFast","Lux A2.0 (2.0T, 176 л.с.)","2018–2022","1795","Седан бизнес-класса на базе BMW 5 Series (F10)."
"VinFast","Lux SA2.0 (2.0T, 228 л.с.)","2018–2022","2100","Среднеразмерный кроссовер на базе BMW X5 (F15). Масса: 2,100–2,140 кг."
"VinFast","President (6.2 V8, 420 л.с.)","2020–2022","2424","Флагманский рамный внедорожник с двигателем GM LT1 V8."
"Volkswagen","Polo (Mk6)","2017–наст.","1105","Компактный хэтчбек B-класса на платформе MQB A0. Масса: 1,105–1,355 кг"
"Volkswagen","Polo (Mk2)","1981–1994","736","Классическое второе поколение. Масса: 736–804 кг"
"Volkswagen","Golf (Mk8, 1.5 TSI)","2019–наст.","1368","Хэтчбек C-класса на платформе MQB Evo. Масса: 1,368–1,441 кг"
"Volkswagen","Golf GTI (Mk8)","2020–наст.","1444","Спортивная версия, 2.0 л турбо (245 л.с.). Масса: 3,188 lbs"
"Volkswagen","Golf R (Mk8, универсал)","2022–наст.","1621","Полноприводная версия, 2.0 л турбо (320 л.с.). Масса: 3,574 lbs"
"Volkswagen","Jetta (A7)","2018–наст.","1310","Компактный седан на платформе MQB. Масса: 1,310–1,347 кг"
"Volkswagen","Passat (B8, 2.0 TSI)","2015–2023","1503","Бизнес-седан D-класса. Масса: 1,426–1,580 кг"
"Volkswagen","Arteon","2017–наст.","1672","Премиальный фастбек, 2.0 л турбо (300 л.с.). Масса: 3,677 lbs"
"Volkswagen","Arteon (AWD)","2017–наст.","1794","Полноприводная версия Arteon. Масса: 3,955 lbs"
"Volkswagen","T-Cross","2019–наст.","1245","Субкомпактный кроссовер B-класса. Масса: 1,245–1,390 кг"
"Volkswagen","T-Roc","2017–наст.","1270","Компактный кроссовер C-класса. Масса: 1,270–1,530 кг"
"Volkswagen","Tiguan (III поколение)","2024–наст.","1598","Популярный компактный кроссовер. Масса: 1,598–1,890 кг"
"Volkswagen","Tiguan (II поколение)","2016–2023","1724","Предыдущее поколение Tiguan. Масса: 3,801 lbs"
"Volkswagen","Tayron II","2025–наст.","1607","Среднеразмерный кроссовер. Масса: 1,607–1,873 кг"
"Volkswagen","Atlas","2017–наст.","2069","Полноразмерный трёхрядный кроссовер для США. Масса: 4,343–4,601 lbs"
"Volkswagen","Atlas Cross Sport","2020–наст.","1889","Купеобразная версия Atlas. Масса: 4,165 lbs"
"Volkswagen","Taos","2021–наст.","1440","Компактный кроссовер для рынка США. Масса: 3,175 lbs"
"Volkswagen","Taos (AWD)","2021–наст.","1556","Полноприводная версия Taos. Масса: 3,430 lbs"
"Volkswagen","Touareg (III поколение)","2018–наст.","2175","Флагманский кроссовер на платформе MLB Evo. Масса: ~4,800 lbs"
"Volkswagen","Touareg (I поколение)","2002–2010","2220","Первое поколение Touareg. Масса: 2,210–2,229 кг"
"Volkswagen","ID.3","2019–наст.","1772","Электрический хэтчбек C-класса на платформе MEB. Масса: 1,772–1,935 кг"
"Volkswagen","ID.4","2020–наст.","2210","Электрический кроссовер на платформе MEB. Масса: 1,958–2,210 кг"
"Volkswagen","ID.5","2022–наст.","1970","Купеобразная версия ID.4. Масса: 1,970–2,337 кг"
"Volkswagen","ID.5 GTX (AWD)","2022–наст.","2337","Полноприводная версия ID.5, 299 л.с."
"Volkswagen","ID. Buzz","2022–наст.","2716","Электрический минивэн в стиле T1. Масса: 5,988 lbs"
"Volkswagen","Beetle (A5)","2011–2019","1450","Современная версия «Жука». Масса: 1,300–1,450 кг"
"Volkswagen","Passat (B1, 1973)","1973–1981","880","Первое поколение Passat. Масса: 880–1,005 кг"
"Volvo","S60 (B5 AWD)","2019–наст.","1770","Спортивный седан D-класса, 2.0 л турбо (250 л.с.), полный привод. Масса: 1,770–1,810 кг"
"Volvo","S90 (B6 AWD)","2016–наст.","1940","Флагманский седан E-класса, 2.0 л турбонаддув (300 л.с.), полный привод"
"Volvo","V60 (B5 AWD)","2018–наст.","1800","Универсал D-класса, 2.0 л турбо (250 л.с.), полный привод"
"Volvo","V60 Cross Country (B5 AWD)","2018–наст.","1850","Универсал повышенной проходимости, 2.0 л турбо (250 л.с.), полный привод"
"Volvo","V90 (B6 AWD)","2016–наст.","1936","Флагманский универсал E-класса, 2.0 л турбонаддув (300 л.с.), полный привод. Масса: 1,830–1,936 кг"
"Volvo","V90 Cross Country (B6 AWD)","2016–наст.","1950","Внедорожный флагманский универсал, 2.0 л турбонаддув (300 л.с.), полный привод"
"Volvo","XC40 (T5 AWD)","2017–наст.","1737","Компактный кроссовер, 2.0 л турбо (247 л.с.), полный привод. Масса: 1,700–1,737 кг"
"Volvo","XC60 (B5 AWD)","2017–наст.","1955","Среднеразмерный кроссовер, 2.0 л турбо (250 л.с.), полный привод. Масса: 1,880–1,955 кг"
"Volvo","XC60 T8 (PHEV, AWD)","2017–наст.","2150","Подзаряжаемый гибрид, 2.0 л турбо + э/м (455 л.с.), полный привод. Масса: 2,140–2,150 кг"
"Volvo","XC90 (B6 AWD)","2015–наст.","2200","Флагманский трёхрядный кроссовер, 2.0 л турбонаддув (300 л.с.), полный привод. Масса: 2,110–2,200 кг"
"Volvo","XC90 T8 (PHEV, AWD)","2015–наст.","2350","Подзаряжаемый гибрид, 2.0 л турбо + э/м (455 л.с.), полный привод. Масса: 2,288–2,350 кг"
"Volvo","EX30 (Single Motor)","2024–наст.","1830","Электрический кроссовер, 272 л.с., задний привод, батарея 49–69 кВт·ч. Масса: 1,830–1,850 кг"
"Volvo","EX30 (Twin Motor Performance)","2024–наст.","1960","Электрический кроссовер, 428 л.с., полный привод, батарея 69 кВт·ч"
"Volvo","EX40 (Single Motor, 69 кВт·ч)","2021–наст.","2065","Электрический кроссовер (ранее XC40 Recharge), 252 л.с., задний привод, запас хода 460 км (WLTP). Масса: 2,065–2,090 кг"
"Volvo","EX40 (Twin Motor, 78 кВт·ч)","2021–наст.","2180","Электрический кроссовер, 408 л.с., полный привод, батарея 78 кВт·ч"
"Volvo","EC40 (Single Motor, 69 кВт·ч)","2022–наст.","2085","Купеобразный электрический кроссовер (ранее C40 Recharge), 252 л.с., задний привод. Масса: 2,085–2,105 кг"
"Volvo","EC40 (Twin Motor, 78 кВт·ч)","2022–наст.","2190","Купеобразный электрический кроссовер, 408 л.с., полный привод"
"Volvo","EX90 (Twin Motor, 111 кВт·ч)","2024–наст.","2748","Флагманский электрический кроссовер, 408–517 л.с., полный привод, 7-местный, запас хода до 600 км (WLTP). Масса: 2,748–2,811 кг"
"Volvo","ES90 (Single Motor, 92 кВт·ч)","2025–наст.","2500","Электрический седан E-класса, 329 л.с., задний привод, 800-вольтовая архитектура, запас хода до 700 км (WLTP)"
"Volvo","ES90 (Twin Motor, 106 кВт·ч)","2025–наст.","2600","Электрический седан, 449–680 л.с., полный привод, батарея 106 кВт·ч"
"Volvo","240 (универсал, 2.3 л)","1974–1993","1400","Легендарный «кирпич», один из самых безопасных автомобилей своего времени"
"Volvo","940 (универсал, 2.3 л)","1990–1998","1500","Последний классический заднеприводный Volvo. Масса: 1,470–1,530 кг"
